站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
C0SA80,土坂,達仁鄉土坂村1鄰10號(土坂國民小學操場旁),自動站,東部,2019/6/7,,臺東縣,120.887572,22.453108,136,原(C1S620)站因擴充為氣象站，於2019/3/23升級為(C0SA80)站。,C1S620,,運行中
C0SA90,達仁林場,達仁鄉臺東達五號農路4K處,自動站,東部,2020/4/9,,臺東縣,120.823972,22.264347,497,,,,運行中
C0SB10,美和,太麻里鄉美和村3鄰28-1號,自動站,東部,2025/2/5,,臺東縣,121.060236,22.682078,28,,,,運行中
C0SB20,富岡,臺東市富岡街299號,自動站,東部,2025/2/5,,臺東縣,121.192669,22.792467,29,,,,運行中
C0SB30,新蘭,東河鄉都蘭村都蘭24之13號,自動站,東部,2025/2/5,,臺東縣,121.223228,22.869214,60,,,,運行中
C0SB40,興隆,東河鄉興昌村29鄰28號,自動站,東部,2025/2/5,,臺東縣,121.257469,22.913661,65,,,,運行中
C0SB50,叭嗡嗡,成功鎮豐田路3號,自動站,東部,2025/2/5,,臺東縣,121.343223,23.047062,7,,,,運行中
C0SB60,白守蓮,成功鎮白蓮路43號,自動站,東部,2025/2/5,,臺東縣,121.401914,23.126769,20,,,,運行中
C0SB70,小港漁港,成功鎮成廣路9號,自動站,東部,2025/2/5,,臺東縣,121.400431,23.158558,28,,,,運行中
C0SB80,長濱漁港,長濱鄉長濱村15鄰181-2號,自動站,東部,2025/2/5,,臺東縣,121.459994,23.313644,53,,,,運行中
C0SD20,富山,卑南鄉富山村5鄰136號,自動站,東部,2025/9/3,,臺東縣,121.190825,22.822383,21,,,,運行中
C0SD30,東清國小,蘭嶼鄉東清村1鄰東清1號,自動站,東部,2025/9/4,,臺東縣,121.564922,22.057128,18,,,,運行中
C0SD40,牛頭山,綠島鄉,自動站,東部,2025/9/5,,臺東縣,121.506944,22.676661,76,,,,運行中
C0SD90,龍泉苗圃,海端鄉達思達斯段1地號,自動站,東部,2026/6/30,,,,,,,,,運行中
C0SE00,樟原南溪,長濱鄉馬拿醠嗨段7地號,自動站,東部,2026/6/30,,,,,,,,,運行中
C0T790,大禹嶺,秀林鄉立霧溪事業區67林班地(救國團大禹山莊),自動站,東部,1994/11/18,,花蓮縣,121.316086,24.186117,2830,,,,運行中
C0T820,天祥,秀林鄉立霧溪事業區80林班地(天祥祥德寺),自動站,東部,1995/6/27,,花蓮縣,121.495639,24.179597,550,本站於2017/9/23起進⾏儀器汰換，於2017/12/1完成驗收。,,,運行中
C0T840,新城,新城鄉北埔村北埔路170號(北埔國民小學內),自動站,東部,1995/6/27,2009/9/24,花蓮縣,121.605638,23.998752,32,因移位，於2009/10/15更變為(C0T841)站。,,C0T841,已撤站
C0T841,新城,新城鄉大漢村樹人街1號(大漢技術學院內),自動站,東部,2009/10/15,2017/8/25,花蓮縣,121.609461,24.037928,23,原(C0T840)站因移位，於2009/10/15更變為(C0T841)，再因移位於2017/12/1更變為(C0Z180)站。,C0T840,C0Z180,已撤站
C0T870,鯉魚潭,壽豐鄉池南村池南路一段8號(鯉魚潭風景區旁),自動站,東部,1995/5/3,,花蓮縣,121.508944,23.935639,135,本站於2017/4/7起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T900,西林,萬榮鄉西林路8鄰114號(西林國民小學運動場旁),自動站,東部,2010/7/1,,花蓮縣,121.441458,23.8119,160,原(C1T900)站因擴充為氣象站，於2010/7/1升級為(C0T900)站，2017/4/14起進⾏儀器汰換，於2017/6/3完成驗收。,C1T900,,運行中
C0T960,光復,光復鄉大進村糖廠街19號(台糖公司花蓮光復糖廠內),自動站,東部,1995/5/3,,花蓮縣,121.424964,23.660694,120,本站於2017/5/3起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9A0,月眉山,壽豐鄉月眉山旁的小山丘上(過米棧大橋往山上水璉方向至四號橋左轉之山上),自動站,東部,2000/8/11,,花蓮縣,121.539828,23.809928,498,本站於2017/5/11起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9B0,水源,秀林鄉原林務局水源段的苗圃內,自動站,東部,2000/8/7,,花蓮縣,121.537169,23.991861,558,本站於2017/3/27起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9C0,富世,秀林鄉富世村127號(富世國小校園內),自動站,東部,2004/4/12,2017/8/25,花蓮縣,121.629633,24.148153,109,原(C0T9C0)站因移位，於2017/12/1變更為(C0Z190)站。,,C0Z190,已撤站
C0T9D0,和中,秀林鄉秀林村62號(和平國小和中分校校園內),自動站,東部,2004/4/12,,花蓮縣,121.74103,24.26676,8,本站於2017/10/12進⾏儀器汰換及短距離移位，於2017/12/1完成驗收。,,,運行中
C0T9E0,大坑,壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁,自動站,東部,2004/4/8,,花蓮縣,121.581981,23.880628,415,本站於2017/4/20起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9F0,水璉,壽豐鄉水璉村,自動站,東部,2004/4/12,,花蓮縣,121.542514,23.797131,251,本站於2017/4/27起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9G0,鳳林山,鳳林鎮,自動站,東部,2004/4/26,,花蓮縣,121.420131,23.735269,605,本站於2017/4/6起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9H0,加路蘭山,豐濱鄉臨海段776-4號,自動站,東部,2004/4/12,,花蓮縣,121.5274,23.682947,725,本站於2017/4/19起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
C0T9I0,豐濱,豐濱鄉豐濱村,自動站,東部,2004/4/12,,花蓮縣,121.514806,23.583897,152,本站於2017/4/25起進⾏儀器汰換，於2017/6/3完成驗收。,,,運行中
